customer_id,name,age,gender,location,loyalty_status
10001,Customer_1,31,Female,Houston,Loyal
10002,Customer_2,56,Male,Houston,Regular
10003,Customer_3,62,Male,Houston,Regular
10004,Customer_4,57,Male,Miami,Loyal
10005,Customer_5,50,Male,Chicago,New
10006,Customer_6,45,Female,New York,Loyal
10007,Customer_7,25,Female,Miami,Regular
10008,Customer_8,39,Male,Miami,Loyal
10009,Customer_9,34,Male,Los Angeles,Loyal
10010,Customer_10,54,Female,Los Angeles,Loyal
10011,Customer_11,18,Male,New York,New
10012,Customer_12,21,Female,Miami,New
10013,Customer_13,52,Female,New York,Regular
10014,Customer_14,19,Male,Los Angeles,Regular
10015,Customer_15,64,Female,Los Angeles,New
10016,Customer_16,32,Female,Chicago,Loyal
10017,Customer_17,53,Female,Los Angeles,New
10018,Customer_18,21,Female,New York,Loyal
10019,Customer_19,44,Male,New York,Loyal
10020,Customer_20,33,Female,Chicago,Regular
10021,Customer_21,26,Male,Houston,Regular
10022,Customer_22,57,Male,Houston,New
10023,Customer_23,56,Female,Miami,New
10024,Customer_24,61,Male,Houston,New
10025,Customer_25,56,Male,Houston,New
10026,Customer_26,28,Male,Chicago,Loyal
10027,Customer_27,35,Male,Chicago,New
10028,Customer_28,33,Male,Houston,New
10029,Customer_29,52,Male,Miami,New
10030,Customer_30,38,Female,Miami,Regular
10031,Customer_31,59,Male,Chicago,Loyal
10032,Customer_32,60,Female,Chicago,Loyal
10033,Customer_33,25,Female,Houston,Loyal
10034,Customer_34,50,Female,Chicago,New
10035,Customer_35,19,Female,Houston,Loyal
10036,Customer_36,47,Male,Houston,New
10037,Customer_37,44,Female,Los Angeles,Loyal
10038,Customer_38,18,Female,Miami,New
10039,Customer_39,35,Male,Houston,Loyal
10040,Customer_40,42,Female,Chicago,New
10041,Customer_41,61,Female,Miami,Regular
10042,Customer_42,43,Male,Miami,Loyal
10043,Customer_43,33,Female,Los Angeles,New
10044,Customer_44,39,Female,Los Angeles,Loyal
10045,Customer_45,48,Female,New York,New
10046,Customer_46,29,Male,Los Angeles,Loyal
10047,Customer_47,20,Female,Houston,New
10048,Customer_48,28,Female,Miami,Loyal
10049,Customer_49,20,Female,New York,Loyal
10050,Customer_50,25,Male,Houston,Regular
10051,Customer_51,53,Male,Chicago,Regular
10052,Customer_52,54,Male,Chicago,New
10053,Customer_53,54,Female,Los Angeles,Loyal
10054,Customer_54,41,Female,Houston,Regular
10055,Customer_55,64,Female,Houston,Regular
10056,Customer_56,44,Male,Chicago,Regular
10057,Customer_57,40,Male,New York,New
10058,Customer_58,58,Female,Houston,Loyal
10059,Customer_59,38,Male,Los Angeles,Loyal
10060,Customer_60,49,Male,Chicago,Loyal
10061,Customer_61,54,Female,Los Angeles,Loyal
10062,Customer_62,60,Male,Chicago,Loyal
10063,Customer_63,33,Male,Chicago,Loyal
10064,Customer_64,41,Male,Los Angeles,New
10065,Customer_65,27,Male,New York,Loyal
10066,Customer_66,57,Female,New York,New
10067,Customer_67,31,Female,Miami,New
10068,Customer_68,39,Female,Houston,New
10069,Customer_69,20,Female,New York,Regular
10070,Customer_70,44,Female,Houston,Loyal
10071,Customer_71,65,Female,Houston,Regular
10072,Customer_72,31,Female,Los Angeles,Loyal
10073,Customer_73,39,Female,New York,Regular
10074,Customer_74,28,Male,Chicago,New
10075,Customer_75,19,Female,Houston,Loyal
10076,Customer_76,38,Male,Houston,New
